dress_id,name,type,color,color_family,suitable_skin_tones,suitable_body_types,occasion,style_category,fabric,price_range,image_url,description,myntra_url,flipkart_url,meesho_url
DRS0012,Handcrafted Charcoal Kurti,Kurti,Charcoal,Black,Deep|Dusky|Fair|Wheatish,Hourglass|Pear|Rectangle,Date Night,Indo-Western,Georgette,₹1000-₹3000,https://picsum.photos/seed/kurti-12/600/800,"A indo-western kurti in charcoal with mirror work, crafted in georgette for date night moments.",https://www.myntra.com/kurti-charcoal?rawQuery=Handcrafted+Charcoal+Kurti+Date+Night,https://www.flipkart.com/search?q=Handcrafted+Charcoal+Kurti+Date+Night,https://meesho.com/search?q=kurti+charcoal
DRS0013,Statement Maroon Lehenga,Lehenga,Maroon,Red,Deep|Fair,Inverted Triangle|Rectangle,Wedding,Indo-Western,Net,₹3000-₹8000,https://picsum.photos/seed/lehenga-13/600/800,"A indo-western lehenga in maroon with ruffled drape, crafted in net for wedding moments.",https://www.myntra.com/lehenga-maroon?rawQuery=Statement+Maroon+Lehenga+Wedding,https://www.flipkart.com/search?q=Statement+Maroon+Lehenga+Wedding,https://meesho.com/search?q=lehenga+maroon
DRS0014,Regal Teal Kurti,Kurti,Teal,Blue,Deep|Fair|Wheatish,Inverted Triangle|Rectangle,Date Night|Festive|Office,Indo-Western,Cotton,₹500-₹1000,https://picsum.photos/seed/kurti-14/600/800,"A indo-western kurti in teal with pearl accents, crafted in cotton for office, date night, festive moments.",https://www.myntra.com/kurti-teal?rawQuery=Regal+Teal+Kurti+Office+Date+Night+Festive,https://www.flipkart.com/search?q=Regal+Teal+Kurti+Office+Date+Night+Festive,https://meesho.com/search?q=kurti+teal
DRS0015,Embroidered Lilac Saree,Saree,Lilac,Purple,Deep|Dusky|Fair|Wheatish,Apple|Hourglass|Pear,Date Night|Party|Wedding,Fusion,Cotton,₹3000-₹8000,https://picsum.photos/seed/saree-15/600/800,"A fusion saree in lilac with flowy hemline, crafted in cotton for date night, wedding, party moments.",https://www.myntra.com/saree-lilac?rawQuery=Embroidered+Lilac+Saree+Date+Night+Wedding+Party,https://www.flipkart.com/search?q=Embroidered+Lilac+Saree+Date+Night+Wedding+Party,https://meesho.com/search?q=saree+lilac
DRS0016,Contemporary Graphite Maxi Dress,Maxi Dress,Graphite,Black,Deep|Dusky|Fair|Wheatish,Hourglass|Inverted Triangle|Pear|Rectangle,Casual,Western,Cotton,₹1000-₹3000,https://picsum.photos/seed/maxi-dress-16/600/800,"A western maxi dress in graphite with flowy hemline, crafted in cotton for casual moments.",https://www.myntra.com/maxi-dress-graphite?rawQuery=Contemporary+Graphite+Maxi+Dress+Casual,https://www.flipkart.com/search?q=Contemporary+Graphite+Maxi+Dress+Casual,https://meesho.com/search?q=maxi-dress+graphite
DRS0017,Luxe Lemon Western Dress,Western Dress,Lemon,Yellow,Deep|Dusky,Apple|Hourglass|Pear|Rectangle,Casual|Date Night,Fusion,Cotton,₹1000-₹3000,https://picsum.photos/seed/western-dress-17/600/800,"A fusion western dress in lemon with zari border, crafted in cotton for casual, date night moments.",https://www.myntra.com/western-dress-lemon?rawQuery=Luxe+Lemon+Western+Dress+Casual+Date+Night,https://www.flipkart.com/search?q=Luxe+Lemon+Western+Dress+Casual+Date+Night,https://meesho.com/search?q=western-dress+lemon
DRS0018,Floral Charcoal Lehenga,Lehenga,Charcoal,Black,Deep|Dusky|Fair|Wheatish,Apple|Pear|Rectangle,Party|Wedding,Indo-Western,Net,₹3000-₹8000,https://picsum.photos/seed/lehenga-18/600/800,"A indo-western lehenga in charcoal with sequin highlights, crafted in net for wedding, party moments.",https://www.myntra.com/lehenga-charcoal?rawQuery=Floral+Charcoal+Lehenga+Wedding+Party,https://www.flipkart.com/search?q=Floral+Charcoal+Lehenga+Wedding+Party,https://meesho.com/search?q=lehenga+charcoal
DRS0019,Contemporary Royal Blue Gown,Gown,Royal Blue,Blue,Deep|Dusky|Fair|Wheatish,Apple|Inverted Triangle|Pear|Rectangle,Party|Wedding,Indo-Western,Silk,₹1000-₹3000,https://picsum.photos/seed/gown-19/600/800,"A indo-western gown in royal blue with ombre dyeing, crafted in silk for wedding, party moments.",https://www.myntra.com/gown-royal-blue?rawQuery=Contemporary+Royal+Blue+Gown+Wedding+Party,https://www.flipkart.com/search?q=Contemporary+Royal+Blue+Gown+Wedding+Party,https://meesho.com/search?q=gown+royal-blue
DRS0020,Regal Wine Saree,Saree,Wine,Red,Deep|Dusky|Fair|Wheatish,Apple|Hourglass|Inverted Triangle|Rectangle,Date Night|Festive|Party,Traditional,Cotton,₹1000-₹3000,https://picsum.photos/seed/saree-20/600/800,"A traditional saree in wine with mirror work, crafted in cotton for date night, party, festive moments.",https://www.myntra.com/saree-wine?rawQuery=Regal+Wine+Saree+Date+Night+Party+Festive,https://www.flipkart.com/search?q=Regal+Wine+Saree+Date+Night+Party+Festive,https://meesho.com/search?q=saree+wine
DRS0021,Contemporary Beige Gown,Gown,Beige,Neutral,Deep|Dusky|Fair|Wheatish,Apple|Rectangle,Date Night,Fusion,Net,₹8000+,https://picsum.photos/seed/gown-21/600/800,"A fusion gown in beige with mirror work, crafted in net for date night moments.",https://www.myntra.com/gown-beige?rawQuery=Contemporary+Beige+Gown+Date+Night,https://www.flipkart.com/search?q=Contemporary+Beige+Gown+Date+Night,https://meesho.com/search?q=gown+beige
DRS0022,Classic Cream Salwar Suit,Salwar Suit,Cream,Neutral,Deep|Fair|Wheatish,Hourglass|Rectangle,Casual|Festive,Indo-Western,Georgette,₹500-₹1000,https://picsum.photos/seed/salwar-suit-22/600/800,"A indo-western salwar suit in cream with ombre dyeing, crafted in georgette for casual, festive moments.",https://www.myntra.com/salwar-suit-cream?rawQuery=Classic+Cream+Salwar+Suit+Casual+Festive,https://www.flipkart.com/search?q=Classic+Cream+Salwar+Suit+Casual+Festive,https://meesho.com/search?q=salwar-suit+cream
DRS0023,Regal Blush Pink Kurti,Kurti,Blush Pink,Pink,Deep|Dusky|Fair|Wheatish,Apple|Inverted Triangle|Rectangle,Festive|Office,Indo-Western,Cotton,₹1000-₹3000,https://picsum.photos/seed/kurti-23/600/800,"A indo-western kurti in blush pink with flowy hemline, crafted in cotton for festive, office moments.",https://www.myntra.com/kurti-blush-pink?rawQuery=Regal+Blush+Pink+Kurti+Festive+Office,https://www.flipkart.com/search?q=Regal+Blush+Pink+Kurti+Festive+Office,https://meesho.com/search?q=kurti+blush-pink
DRS0024,Graceful Crimson Gown,Gown,Crimson,Red,Deep|Fair,Inverted Triangle|Pear|Rectangle,Date Night|Party|Wedding,Indo-Western,Georgette,₹3000-₹8000,https://picsum.photos/seed/gown-24/600/800,"A indo-western gown in crimson with structured silhouette, crafted in georgette for wedding, date night, party moments.",https://www.myntra.com/gown-crimson?rawQuery=Graceful+Crimson+Gown+Wedding+Date+Night+Party,https://www.flipkart.com/search?q=Graceful+Crimson+Gown+Wedding+Date+Night+Party,https://meesho.com/search?q=gown+crimson
DRS0025,Graceful Cream Kurti,Kurti,Cream,Neutral,Deep|Dusky|Wheatish,Apple|Inverted Triangle|Pear|Rectangle,Date Night|Festive|Office,Traditional,Georgette,₹1000-₹3000,https://picsum.photos/seed/kurti-25/600/800,"A traditional kurti in cream with sequin highlights, crafted in georgette for festive, date night, office moments.",https://www.myntra.com/kurti-cream?rawQuery=Graceful+Cream+Kurti+Festive+Date+Night+Office,https://www.flipkart.com/search?q=Graceful+Cream+Kurti+Festive+Date+Night+Office,https://meesho.com/search?q=kurti+cream
DRS0026,Minimal Amethyst Kurti,Kurti,Amethyst,Purple,Deep|Dusky|Fair|Wheatish,Apple|Pear|Rectangle,Casual|Festive|Office,Indo-Western,Georgette,₹500-₹1000,https://picsum.photos/seed/kurti-26/600/800,"A indo-western kurti in amethyst with structured silhouette, crafted in georgette for festive, casual, office moments.",https://www.myntra.com/kurti-amethyst?rawQuery=Minimal+Amethyst+Kurti+Festive+Casual+Office,https://www.flipkart.com/search?q=Minimal+Amethyst+Kurti+Festive+Casual+Office,https://meesho.com/search?q=kurti+amethyst
DRS0027,Handcrafted Emerald Maxi Dress,Maxi Dress,Emerald,Green,Deep|Fair,Apple|Hourglass|Inverted Triangle|Pear,Party,Fusion,Net,₹3000-₹8000,https://picsum.photos/seed/maxi-dress-27/600/800,"A fusion maxi dress in emerald with flowy hemline, crafted in net for party moments.",https://www.myntra.com/maxi-dress-emerald?rawQuery=Handcrafted+Emerald+Maxi+Dress+Party,https://www.flipkart.com/search?q=Handcrafted+Emerald+Maxi+Dress+Party,https://meesho.com/search?q=maxi-dress+emerald
DRS0028,Regal Tangerine Lehenga,Lehenga,Tangerine,Orange,Deep|Dusky|Fair|Wheatish,Apple|Inverted Triangle|Pear,Festive|Party|Wedding,Indo-Western,Georgette,₹3000-₹8000,https://picsum.photos/seed/lehenga-28/600/800,"A indo-western lehenga in tangerine with structured silhouette, crafted in georgette for party, festive, wedding moments.",https://www.myntra.com/lehenga-tangerine?rawQuery=Regal+Tangerine+Lehenga+Party+Festive+Wedding,https://www.flipkart.com/search?q=Regal+Tangerine+Lehenga+Party+Festive+Wedding,https://meesho.com/search?q=lehenga+tangerine
DRS0029,Statement Coral Maxi Dress,Maxi Dress,Coral,Red,Deep|Dusky|Fair|Wheatish,Apple|Inverted Triangle|Pear|Rectangle,Festive,Western,Cotton,₹3000-₹8000,https://picsum.photos/seed/maxi-dress-29/600/800,"A western maxi dress in coral with thread embroidery, crafted in cotton for festive moments.",https://www.myntra.com/maxi-dress-coral?rawQuery=Statement+Coral+Maxi+Dress+Festive,https://www.flipkart.com/search?q=Statement+Coral+Maxi+Dress+Festive,https://meesho.com/search?q=maxi-dress+coral
DRS0030,Minimal Smoky Black Gown,Gown,Smoky Black,Black,Deep|Dusky|Fair,Apple|Inverted Triangle,Party|Wedding,Indo-Western,Net,₹3000-₹8000,https://picsum.photos/seed/gown-30/600/800,"A indo-western gown in smoky black with pearl accents, crafted in net for party, wedding moments.",https://www.myntra.com/gown-smoky-black?rawQuery=Minimal+Smoky+Black+Gown+Party+Wedding,https://www.flipkart.com/search?q=Minimal+Smoky+Black+Gown+Party+Wedding,https://meesho.com/search?q=gown+smoky-black
DRS0031,Embroidered Blush Pink Salwar Suit,Salwar Suit,Blush Pink,Pink,Deep|Dusky|Fair|Wheatish,Inverted Triangle|Rectangle,Casual|Office|Wedding,Fusion,Silk,₹1000-₹3000,https://picsum.photos/seed/salwar-suit-31/600/800,"A fusion salwar suit in blush pink with printed motifs, crafted in silk for wedding, casual, office moments.",https://www.myntra.com/salwar-suit-blush-pink?rawQuery=Embroidered+Blush+Pink+Salwar+Suit+Wedding+Casual+Office,https://www.flipkart.com/search?q=Embroidered+Blush+Pink+Salwar+Suit+Wedding+Casual+Office,https://meesho.com/search?q=salwar-suit+blush-pink
DRS0032,Contemporary Amethyst Gown,Gown,Amethyst,Purple,Dusky|Fair|Wheatish,Apple|Rectangle,Date Night|Party|Wedding,Indo-Western,Silk,₹8000+,https://picsum.photos/seed/gown-32/600/800,"A indo-western gown in amethyst with sequin highlights, crafted in silk for date night, party, wedding moments.",https://www.myntra.com/gown-amethyst?rawQuery=Contemporary+Amethyst+Gown+Date+Night+Party+Wedding,https://www.flipkart.com/search?q=Contemporary+Amethyst+Gown+Date+Night+Party+Wedding,https://meesho.com/search?q=gown+amethyst
DRS0033,Classic Bottle Green Maxi Dress,Maxi Dress,Bottle Green,Green,Dusky|Wheatish,Pear|Rectangle,Festive,Western,Georgette,₹1000-₹3000,https://picsum.photos/seed/maxi-dress-33/600/800,"A western maxi dress in bottle green with thread embroidery, crafted in georgette for festive moments.",https://www.myntra.com/maxi-dress-bottle-green?rawQuery=Classic+Bottle+Green+Maxi+Dress+Festive,https://www.flipkart.com/search?q=Classic+Bottle+Green+Maxi+Dress+Festive,https://meesho.com/search?q=maxi-dress+bottle-green
DRS0034,Embroidered Taupe Maxi Dress,Maxi Dress,Taupe,Neutral,Dusky|Fair|Wheatish,Hourglass|Inverted Triangle,Casual|Party,Fusion,Georgette,₹3000-₹8000,https://picsum.photos/seed/maxi-dress-34/600/800,"A fusion maxi dress in taupe with mirror work, crafted in georgette for casual, party moments.",https://www.myntra.com/maxi-dress-taupe?rawQuery=Embroidered+Taupe+Maxi+Dress+Casual+Party,https://www.flipkart.com/search?q=Embroidered+Taupe+Maxi+Dress+Casual+Party,https://meesho.com/search?q=maxi-dress+taupe
DRS0035,Regal Blush Pink Kurti,Kurti,Blush Pink,Pink,Dusky|Fair|Wheatish,Apple|Hourglass|Pear|Rectangle,Date Night,Indo-Western,Cotton,₹500-₹1000,https://picsum.photos/seed/kurti-35/600/800,"A indo-western kurti in blush pink with ombre dyeing, crafted in cotton for date night moments.",https://www.myntra.com/kurti-blush-pink?rawQuery=Regal+Blush+Pink+Kurti+Date+Night,https://www.flipkart.com/search?q=Regal+Blush+Pink+Kurti+Date+Night,https://meesho.com/search?q=kurti+blush-pink
DRS0036,Luxe Wine Lehenga,Lehenga,Wine,Red,Deep|Dusky,Inverted Triangle|Pear,Party|Wedding,Indo-Western,Georgette,₹8000+,https://picsum.photos/seed/lehenga-36/600/800,"A indo-western lehenga in wine with zari border, crafted in georgette for party, wedding moments.",https://www.myntra.com/lehenga-wine?rawQuery=Luxe+Wine+Lehenga+Party+Wedding,https://www.flipkart.com/search?q=Luxe+Wine+Lehenga+Party+Wedding,https://meesho.com/search?q=lehenga+wine
DRS0037,Regal Champagne Saree,Saree,Champagne,Neutral,Deep|Dusky|Fair|Wheatish,Hourglass|Pear|Rectangle,Festive|Party|Wedding,Fusion,Cotton,₹1000-₹3000,https://picsum.photos/seed/saree-37/600/800,"A fusion saree in champagne with structured silhouette, crafted in cotton for party, wedding, festive moments.",https://www.myntra.com/saree-champagne?rawQuery=Regal+Champagne+Saree+Party+Wedding+Festive,https://www.flipkart.com/search?q=Regal+Champagne+Saree+Party+Wedding+Festive,https://meesho.com/search?q=saree+champagne
DRS0038,Luxe Smoky Black Gown,Gown,Smoky Black,Black,Deep|Dusky,Apple|Rectangle,Date Night|Party|Wedding,Fusion,Georgette,₹8000+,https://picsum.photos/seed/gown-38/600/800,"A fusion gown in smoky black with pearl accents, crafted in georgette for wedding, date night, party moments.",https://www.myntra.com/gown-smoky-black?rawQuery=Luxe+Smoky+Black+Gown+Wedding+Date+Night+Party,https://www.flipkart.com/search?q=Luxe+Smoky+Black+Gown+Wedding+Date+Night+Party,https://meesho.com/search?q=gown+smoky-black
DRS0039,Floral Maroon Western Dress,Western Dress,Maroon,Red,Deep|Dusky|Fair|Wheatish,Apple|Inverted Triangle|Rectangle,Date Night,Fusion,Cotton,₹1000-₹3000,https://picsum.photos/seed/western-dress-39/600/800,"A fusion western dress in maroon with thread embroidery, crafted in cotton for date night moments.",https://www.myntra.com/western-dress-maroon?rawQuery=Floral+Maroon+Western+Dress+Date+Night,https://www.flipkart.com/search?q=Floral+Maroon+Western+Dress+Date+Night,https://meesho.com/search?q=western-dress+maroon
DRS0040,Handcrafted Burnt Orange Co-ord Set,Co-ord Set,Burnt Orange,Orange,Deep|Dusky|Wheatish,Apple|Pear,Casual|Date Night|Office,Western,Silk,₹3000-₹8000,https://picsum.photos/seed/co-ord-set-40/600/800,"A western co-ord set in burnt orange with structured silhouette, crafted in silk for date night, office, casual moments.",https://www.myntra.com/co-ord-set-burnt-orange?rawQuery=Handcrafted+Burnt+Orange+Co-ord+Set+Date+Night+Office+Casual,https://www.flipkart.com/search?q=Handcrafted+Burnt+Orange+Co-ord+Set+Date+Night+Office+Casual,https://meesho.com/search?q=co-ord-set+burnt-orange
DRS0041,Graceful Violet Western Dress,Western Dress,Violet,Purple,Dusky|Fair,Apple|Hourglass|Pear,Casual|Date Night,Fusion,Georgette,₹3000-₹8000,https://picsum.photos/seed/western-dress-41/600/800,"A fusion western dress in violet with sequin highlights, crafted in georgette for date night, casual moments.",https://www.myntra.com/western-dress-violet?rawQuery=Graceful+Violet+Western+Dress+Date+Night+Casual,https://www.flipkart.com/search?q=Graceful+Violet+Western+Dress+Date+Night+Casual,https://meesho.com/search?q=western-dress+violet
DRS0042,Statement Mauve Kurti,Kurti,Mauve,Pink,Deep|Dusky|Fair,Apple|Hourglass|Pear,Casual,Fusion,Georgette,₹1000-₹3000,https://picsum.photos/seed/kurti-42/600/800,"A fusion kurti in mauve with mirror work, crafted in georgette for casual moments.",https://www.myntra.com/kurti-mauve?rawQuery=Statement+Mauve+Kurti+Casual,https://www.flipkart.com/search?q=Statement+Mauve+Kurti+Casual,https://meesho.com/search?q=kurti+mauve
DRS0043,Handcrafted Onyx Saree,Saree,Onyx,Black,Deep|Fair|Wheatish,Apple|Inverted Triangle|Pear|Rectangle,Date Night|Wedding,Indo-Western,Georgette,₹8000+,https://picsum.photos/seed/saree-43/600/800,"A indo-western saree in onyx with zari border, crafted in georgette for wedding, date night moments.",https://www.myntra.com/saree-onyx?rawQuery=Handcrafted+Onyx+Saree+Wedding+Date+Night,https://www.flipkart.com/search?q=Handcrafted+Onyx+Saree+Wedding+Date+Night,https://meesho.com/search?q=saree+onyx
DRS0044,Handcrafted Amethyst Lehenga,Lehenga,Amethyst,Purple,Deep|Dusky|Fair|Wheatish,Apple|Hourglass|Inverted Triangle|Rectangle,Wedding,Traditional,Georgette,₹3000-₹8000,https://picsum.photos/seed/lehenga-44/600/800,"A traditional lehenga in amethyst with ruffled drape, crafted in georgette for wedding moments.",https://www.myntra.com/lehenga-amethyst?rawQuery=Handcrafted+Amethyst+Lehenga+Wedding,https://www.flipkart.com/search?q=Handcrafted+Amethyst+Lehenga+Wedding,https://meesho.com/search?q=lehenga+amethyst
DRS0045,Graceful Lilac Gown,Gown,Lilac,Purple,Fair|Wheatish,Apple|Hourglass|Pear|Rectangle,Date Night|Party|Wedding,Indo-Western,Silk,₹1000-₹3000,https://picsum.photos/seed/gown-45/600/800,"A indo-western gown in lilac with zari border, crafted in silk for date night, party, wedding moments.",https://www.myntra.com/gown-lilac?rawQuery=Graceful+Lilac+Gown+Date+Night+Party+Wedding,https://www.flipkart.com/search?q=Graceful+Lilac+Gown+Date+Night+Party+Wedding,https://meesho.com/search?q=gown+lilac
DRS0046,Luxe Maroon Salwar Suit,Salwar Suit,Maroon,Red,Deep|Dusky|Fair|Wheatish,Apple|Inverted Triangle,Festive|Office,Fusion,Georgette,₹3000-₹8000,https://picsum.photos/seed/salwar-suit-46/600/800,"A fusion salwar suit in maroon with thread embroidery, crafted in georgette for festive, office moments.",https://www.myntra.com/salwar-suit-maroon?rawQuery=Luxe+Maroon+Salwar+Suit+Festive+Office,https://www.flipkart.com/search?q=Luxe+Maroon+Salwar+Suit+Festive+Office,https://meesho.com/search?q=salwar-suit+maroon
DRS0047,Statement Turquoise Co-ord Set,Co-ord Set,Turquoise,Blue,Deep|Dusky|Fair|Wheatish,Apple|Pear,Casual|Office,Western,Silk,₹1000-₹3000,https://picsum.photos/seed/co-ord-set-47/600/800,"A western co-ord set in turquoise with pearl accents, crafted in silk for office, casual moments.",https://www.myntra.com/co-ord-set-turquoise?rawQuery=Statement+Turquoise+Co-ord+Set+Office+Casual,https://www.flipkart.com/search?q=Statement+Turquoise+Co-ord+Set+Office+Casual,https://meesho.com/search?q=co-ord-set+turquoise
DRS0048,Regal Graphite Gown,Gown,Graphite,Black,Deep|Dusky|Fair|Wheatish,Apple|Hourglass|Inverted Triangle|Rectangle,Date Night|Party|Wedding,Fusion,Georgette,₹1000-₹3000,https://picsum.photos/seed/gown-48/600/800,"A fusion gown in graphite with ruffled drape, crafted in georgette for party, wedding, date night moments.",https://www.myntra.com/gown-graphite?rawQuery=Regal+Graphite+Gown+Party+Wedding+Date+Night,https://www.flipkart.com/search?q=Regal+Graphite+Gown+Party+Wedding+Date+Night,https://meesho.com/search?q=gown+graphite
DRS0049,Handcrafted Lemon Maxi Dress,Maxi Dress,Lemon,Yellow,Deep|Dusky|Fair|Wheatish,Apple|Pear|Rectangle,Festive,Fusion,Net,₹3000-₹8000,https://picsum.photos/seed/maxi-dress-49/600/800,"A fusion maxi dress in lemon with ombre dyeing, crafted in net for festive moments.",https://www.myntra.com/maxi-dress-lemon?rawQuery=Handcrafted+Lemon+Maxi+Dress+Festive,https://www.flipkart.com/search?q=Handcrafted+Lemon+Maxi+Dress+Festive,https://meesho.com/search?q=maxi-dress+lemon
DRS0050,Graceful Jet Black Co-ord Set,Co-ord Set,Jet Black,Black,Deep|Dusky|Fair|Wheatish,Apple|Hourglass|Inverted Triangle,Casual|Party,Fusion,Cotton,₹3000-₹8000,https://picsum.photos/seed/co-ord-set-50/600/800,"A fusion co-ord set in jet black with printed motifs, crafted in cotton for party, casual moments.",https://www.myntra.com/co-ord-set-jet-black?rawQuery=Graceful+Jet+Black+Co-ord+Set+Party+Casual,https://www.flipkart.com/search?q=Graceful+Jet+Black+Co-ord+Set+Party+Casual,https://meesho.com/search?q=co-ord-set+jet-black
DRS0051,Graceful Peach Maxi Dress,Maxi Dress,Peach,Orange,Deep|Dusky|Fair|Wheatish,Apple|Hourglass|Inverted Triangle,Date Night|Festive,Western,Georgette,₹1000-₹3000,https://picsum.photos/seed/maxi-dress-51/600/800,"A western maxi dress in peach with mirror work, crafted in georgette for festive, date night moments.",https://www.myntra.com/maxi-dress-peach?rawQuery=Graceful+Peach+Maxi+Dress+Festive+Date+Night,https://www.flipkart.com/search?q=Graceful+Peach+Maxi+Dress+Festive+Date+Night,https://meesho.com/search?q=maxi-dress+peach
