dress_id,name,type,color,color_family,suitable_skin_tones,suitable_body_types,occasion,style_category,fabric,pattern,fit,season,gender,brand,price_range,price_min,price_max,price,mrp,discount_pct,rating,rating_count,care,tags,description,image_url,myntra_url,flipkart_url,meesho_url
DRS0011,Statement Coral Western Dress,Western Dress,Coral,Red,Deep|Dusky|Fair,Apple|Hourglass|Inverted Triangle|Pear,Party,Western,Net,Printed,Bodycon,Summer|Festive,Unisex,Zara,₹500-₹1000,500,1000,802,1112,27.9,4.7,1539,Hand wash cold,deep|fair|western dress|dusky|printed|net|summer festive|coral|red|party|western,"A western western dress in coral with printed design. Crafted in Net (Hand wash cold). Perfect for Party. Best suited for Deep, Dusky, Fair skin tones and Apple, Hourglass, Inverted Triangle, Pear body types. By Zara.",https://picsum.photos/seed/western-dress-coral-10/600/800,https://www.myntra.com/western-dress-coral?rawQuery=Statement+Coral+Western+Dress+Party,https://www.flipkart.com/search?q=Statement+Coral+Western+Dress+Party,https://meesho.com/search?q=western-dress+coral
DRS0012,Handcrafted Charcoal Kurti,Kurti,Charcoal,Black,Deep|Dusky|Fair|Wheatish,Hourglass|Pear|Rectangle,Date Night,Indo-Western,Georgette,Embroidered,Regular,All Season,Women,Wishful,₹1000-₹3000,1000,3000,1864,2367,21.3,3.9,899,Hand wash cold,charcoal|deep|fair|kurti|date night|indo-western|dusky|wheatish|all season|georgette|embroidered|black,"A indo-western kurti in charcoal with embroidered design. Crafted in Georgette (Hand wash cold). Perfect for Date Night. Best suited for Deep, Dusky, Fair, Wheatish skin tones and Hourglass, Pear, Rectangle body types. By Wishful.",https://picsum.photos/seed/kurti-charcoal-11/600/800,https://www.myntra.com/kurti-charcoal?rawQuery=Handcrafted+Charcoal+Kurti+Date+Night,https://www.flipkart.com/search?q=Handcrafted+Charcoal+Kurti+Date+Night,https://meesho.com/search?q=kurti+charcoal
DRS0013,Statement Maroon Lehenga,Lehenga,Maroon,Red,Deep|Fair,Inverted Triangle|Rectangle,Wedding,Indo-Western,Net,Embroidered,Flared,Summer|Festive,Women,Libas,₹3000-₹8000,3000,8000,3260,4099,20.5,4.8,90,Hand wash cold,wedding|deep|fair|indo-western|net|lehenga|maroon|summer festive|embroidered|red,"A indo-western lehenga in maroon with embroidered design. Crafted in Net (Hand wash cold). Perfect for Wedding. Best suited for Deep, Fair skin tones and Inverted Triangle, Rectangle body types. By Libas.",https://picsum.photos/seed/lehenga-maroon-12/600/800,https://www.myntra.com/lehenga-maroon?rawQuery=Statement+Maroon+Lehenga+Wedding,https://www.flipkart.com/search?q=Statement+Maroon+Lehenga+Wedding,https://meesho.com/search?q=lehenga+maroon
DRS0014,Regal Teal Kurti,Kurti,Teal,Blue,Deep|Fair|Wheatish,Inverted Triangle|Rectangle,Date Night|Festive|Office,Indo-Western,Cotton,Printed,Regular,Summer|Monsoon,Women,Indya,₹500-₹1000,500,1000,515,588,12.4,4.4,931,Machine wash cold,cotton|blue|festive|deep|teal|fair|kurti|date night|indo-western|printed|office|wheatish|summer monsoon,"A indo-western kurti in teal with printed design. Crafted in Cotton (Machine wash cold). Perfect for Date Night, Festive, Office. Best suited for Deep, Fair, Wheatish skin tones and Inverted Triangle, Rectangle body types. By Indya.",https://picsum.photos/seed/kurti-teal-13/600/800,https://www.myntra.com/kurti-teal?rawQuery=Regal+Teal+Kurti+Office+Date+Night+Festive,https://www.flipkart.com/search?q=Regal+Teal+Kurti+Office+Date+Night+Festive,https://meesho.com/search?q=kurti+teal
DRS0015,Embroidered Lilac Saree,Saree,Lilac,Purple,Deep|Dusky|Fair|Wheatish,Apple|Hourglass|Pear,Date Night|Party|Wedding,Fusion,Cotton,Embroidered,Draped,Summer|Monsoon,Women,Lakshita,₹3000-₹8000,3000,8000,3767,4802,21.6,4.8,626,Machine wash cold,cotton|wedding|deep|fair|fusion|date night|lilac|dusky|saree|wheatish|summer monsoon|purple|embroidered|party,"A fusion saree in lilac with embroidered design. Crafted in Cotton (Machine wash cold). Perfect for Date Night, Party, Wedding. Best suited for Deep, Dusky, Fair, Wheatish skin tones and Apple, Hourglass, Pear body types. By Lakshita.",https://picsum.photos/seed/saree-lilac-14/600/800,https://www.myntra.com/saree-lilac?rawQuery=Embroidered+Lilac+Saree+Date+Night+Wedding+Party,https://www.flipkart.com/search?q=Embroidered+Lilac+Saree+Date+Night+Wedding+Party,https://meesho.com/search?q=saree+lilac
DRS0016,Contemporary Graphite Maxi Dress,Maxi Dress,Graphite,Black,Deep|Dusky|Fair|Wheatish,Hourglass|Inverted Triangle|Pear|Rectangle,Casual,Western,Cotton,Floral,Flowy,Summer|Monsoon,Women,Forever 21,₹1000-₹3000,1000,3000,1447,2280,36.5,4.4,399,Machine wash cold,cotton|deep|maxi dress|fair|floral|dusky|wheatish|summer monsoon|graphite|casual|black|western,"A western maxi dress in graphite with floral design. Crafted in Cotton (Machine wash cold). Perfect for Casual. Best suited for Deep, Dusky, Fair, Wheatish skin tones and Hourglass, Inverted Triangle, Pear, Rectangle body types. By Forever 21.",https://picsum.photos/seed/maxi-dress-graphite-15/600/800,https://www.myntra.com/maxi-dress-graphite?rawQuery=Contemporary+Graphite+Maxi+Dress+Casual,https://www.flipkart.com/search?q=Contemporary+Graphite+Maxi+Dress+Casual,https://meesho.com/search?q=maxi-dress+graphite
DRS0017,Luxe Lemon Western Dress,Western Dress,Lemon,Yellow,Deep|Dusky,Apple|Hourglass|Pear|Rectangle,Casual|Date Night,Fusion,Cotton,Embroidered,Bodycon,Summer|Monsoon,Unisex,Janasya,₹1000-₹3000,1000,3000,1476,2198,32.8,3.7,1147,Machine wash cold,cotton|deep|fusion|western dress|date night|dusky|lemon|summer monsoon|yellow|embroidered|casual,"A fusion western dress in lemon with embroidered design. Crafted in Cotton (Machine wash cold). Perfect for Casual, Date Night. Best suited for Deep, Dusky skin tones and Apple, Hourglass, Pear, Rectangle body types. By Janasya.",https://picsum.photos/seed/western-dress-lemon-16/600/800,https://www.myntra.com/western-dress-lemon?rawQuery=Luxe+Lemon+Western+Dress+Casual+Date+Night,https://www.flipkart.com/search?q=Luxe+Lemon+Western+Dress+Casual+Date+Night,https://meesho.com/search?q=western-dress+lemon
DRS0018,Floral Charcoal Lehenga,Lehenga,Charcoal,Black,Deep|Dusky|Fair|Wheatish,Apple|Pear|Rectangle,Party|Wedding,Indo-Western,Net,Floral,Flared,Summer|Festive,Women,Global Desi,₹3000-₹8000,3000,8000,7139,8015,10.9,3.9,310,Hand wash cold,wedding|charcoal|deep|party|fair|indo-western|floral|dusky|net|lehenga|wheatish|summer festive|black,"A indo-western lehenga in charcoal with floral design. Crafted in Net (Hand wash cold). Perfect for Party, Wedding. Best suited for Deep, Dusky, Fair, Wheatish skin tones and Apple, Pear, Rectangle body types. By Global Desi.",https://picsum.photos/seed/lehenga-charcoal-17/600/800,https://www.myntra.com/lehenga-charcoal?rawQuery=Floral+Charcoal+Lehenga+Wedding+Party,https://www.flipkart.com/search?q=Floral+Charcoal+Lehenga+Wedding+Party,https://meesho.com/search?q=lehenga+charcoal
DRS0019,Contemporary Royal Blue Gown,Gown,Royal Blue,Blue,Deep|Dusky|Fair|Wheatish,Apple|Inverted Triangle|Pear|Rectangle,Party|Wedding,Indo-Western,Silk,Printed,Fitted,Winter|Festive,Unisex,Anouk,₹1000-₹3000,1000,3000,2232,2425,8.0,5.0,687,Dry clean only,blue|wedding|deep|winter festive|party|fair|silk|indo-western|gown|dusky|printed|wheatish|royal blue,"A indo-western gown in royal blue with printed design. Crafted in Silk (Dry clean only). Perfect for Party, Wedding. Best suited for Deep, Dusky, Fair, Wheatish skin tones and Apple, Inverted Triangle, Pear, Rectangle body types. By Anouk.",https://picsum.photos/seed/gown-royal-blue-18/600/800,https://www.myntra.com/gown-royal-blue?rawQuery=Contemporary+Royal+Blue+Gown+Wedding+Party,https://www.flipkart.com/search?q=Contemporary+Royal+Blue+Gown+Wedding+Party,https://meesho.com/search?q=gown+royal-blue
DRS0020,Regal Wine Saree,Saree,Wine,Red,Deep|Dusky|Fair|Wheatish,Apple|Hourglass|Inverted Triangle|Rectangle,Date Night|Festive|Party,Traditional,Cotton,Floral,Draped,Summer|Monsoon,Women,W,₹1000-₹3000,1000,3000,1054,1369,23.0,4.0,240,Machine wash cold,cotton|festive|deep|wine|fair|date night|floral|dusky|saree|wheatish|summer monsoon|red|party|traditional,"A traditional saree in wine with floral design. Crafted in Cotton (Machine wash cold). Perfect for Date Night, Festive, Party. Best suited for Deep, Dusky, Fair, Wheatish skin tones and Apple, Hourglass, Inverted Triangle, Rectangle body types. By W.",https://picsum.photos/seed/saree-wine-19/600/800,https://www.myntra.com/saree-wine?rawQuery=Regal+Wine+Saree+Date+Night+Party+Festive,https://www.flipkart.com/search?q=Regal+Wine+Saree+Date+Night+Party+Festive,https://meesho.com/search?q=saree+wine
DRS0021,Contemporary Beige Gown,Gown,Beige,Neutral,Deep|Dusky|Fair|Wheatish,Apple|Rectangle,Date Night,Fusion,Net,Embroidered,Fitted,Summer|Festive,Unisex,Lakshita,₹8000+,8000,25000,14515,19925,27.2,4.9,45,Hand wash cold,deep|fair|fusion|date night|neutral|gown|dusky|net|wheatish|beige|summer festive|embroidered,"A fusion gown in beige with embroidered design. Crafted in Net (Hand wash cold). Perfect for Date Night. Best suited for Deep, Dusky, Fair, Wheatish skin tones and Apple, Rectangle body types. By Lakshita.",https://picsum.photos/seed/gown-beige-20/600/800,https://www.myntra.com/gown-beige?rawQuery=Contemporary+Beige+Gown+Date+Night,https://www.flipkart.com/search?q=Contemporary+Beige+Gown+Date+Night,https://meesho.com/search?q=gown+beige
DRS0022,Classic Cream Salwar Suit,Salwar Suit,Cream,Neutral,Deep|Fair|Wheatish,Hourglass|Rectangle,Casual|Festive,Indo-Western,Georgette,Solid,Regular,All Season,Women,Anouk,₹500-₹1000,500,1000,866,1040,16.7,4.8,721,Hand wash cold,festive|deep|fair|cream|indo-western|neutral|solid|wheatish|all season|georgette|casual|salwar suit,"A indo-western salwar suit in cream with solid design. Crafted in Georgette (Hand wash cold). Perfect for Casual, Festive. Best suited for Deep, Fair, Wheatish skin tones and Hourglass, Rectangle body types. By Anouk.",https://picsum.photos/seed/salwar-suit-cream-21/600/800,https://www.myntra.com/salwar-suit-cream?rawQuery=Classic+Cream+Salwar+Suit+Casual+Festive,https://www.flipkart.com/search?q=Classic+Cream+Salwar+Suit+Casual+Festive,https://meesho.com/search?q=salwar-suit+cream
DRS0023,Regal Blush Pink Kurti,Kurti,Blush Pink,Pink,Deep|Dusky|Fair|Wheatish,Apple|Inverted Triangle|Rectangle,Festive|Office,Indo-Western,Cotton,Embroidered,Regular,Summer|Monsoon,Women,Libas,₹1000-₹3000,1000,3000,2330,3511,33.6,4.7,1383,Machine wash cold,cotton|festive|deep|pink|blush pink|fair|kurti|indo-western|dusky|office|wheatish|summer monsoon|embroidered,"A indo-western kurti in blush pink with embroidered design. Crafted in Cotton (Machine wash cold). Perfect for Festive, Office. Best suited for Deep, Dusky, Fair, Wheatish skin tones and Apple, Inverted Triangle, Rectangle body types. By Libas.",https://picsum.photos/seed/kurti-blush-pink-22/600/800,https://www.myntra.com/kurti-blush-pink?rawQuery=Regal+Blush+Pink+Kurti+Festive+Office,https://www.flipkart.com/search?q=Regal+Blush+Pink+Kurti+Festive+Office,https://meesho.com/search?q=kurti+blush-pink
DRS0024,Graceful Crimson Gown,Gown,Crimson,Red,Deep|Fair,Inverted Triangle|Pear|Rectangle,Date Night|Party|Wedding,Indo-Western,Georgette,Floral,Fitted,All Season,Unisex,Global Desi,₹3000-₹8000,3000,8000,7464,10863,31.3,5.0,312,Hand wash cold,wedding|deep|fair|crimson|date night|indo-western|gown|floral|all season|georgette|red|party,"A indo-western gown in crimson with floral design. Crafted in Georgette (Hand wash cold). Perfect for Date Night, Party, Wedding. Best suited for Deep, Fair skin tones and Inverted Triangle, Pear, Rectangle body types. By Global Desi.",https://picsum.photos/seed/gown-crimson-23/600/800,https://www.myntra.com/gown-crimson?rawQuery=Graceful+Crimson+Gown+Wedding+Date+Night+Party,https://www.flipkart.com/search?q=Graceful+Crimson+Gown+Wedding+Date+Night+Party,https://meesho.com/search?q=gown+crimson
DRS0025,Graceful Cream Kurti,Kurti,Cream,Neutral,Deep|Dusky|Wheatish,Apple|Inverted Triangle|Pear|Rectangle,Date Night|Festive|Office,Traditional,Georgette,Printed,Regular,All Season,Women,Aurelia,₹1000-₹3000,1000,3000,1859,2601,28.5,5.0,657,Hand wash cold,festive|deep|kurti|date night|cream|neutral|dusky|printed|office|wheatish|all season|georgette|traditional,"A traditional kurti in cream with printed design. Crafted in Georgette (Hand wash cold). Perfect for Date Night, Festive, Office. Best suited for Deep, Dusky, Wheatish skin tones and Apple, Inverted Triangle, Pear, Rectangle body types. By Aurelia.",https://picsum.photos/seed/kurti-cream-24/600/800,https://www.myntra.com/kurti-cream?rawQuery=Graceful+Cream+Kurti+Festive+Date+Night+Office,https://www.flipkart.com/search?q=Graceful+Cream+Kurti+Festive+Date+Night+Office,https://meesho.com/search?q=kurti+cream
DRS0026,Minimal Amethyst Kurti,Kurti,Amethyst,Purple,Deep|Dusky|Fair|Wheatish,Apple|Pear|Rectangle,Casual|Festive|Office,Indo-Western,Georgette,Embroidered,Regular,All Season,Women,Anouk,₹500-₹1000,500,1000,612,702,12.8,4.8,963,Hand wash cold,festive|deep|fair|kurti|indo-western|dusky|office|amethyst|wheatish|all season|purple|georgette|embroidered|casual,"A indo-western kurti in amethyst with embroidered design. Crafted in Georgette (Hand wash cold). Perfect for Casual, Festive, Office. Best suited for Deep, Dusky, Fair, Wheatish skin tones and Apple, Pear, Rectangle body types. By Anouk.",https://picsum.photos/seed/kurti-amethyst-25/600/800,https://www.myntra.com/kurti-amethyst?rawQuery=Minimal+Amethyst+Kurti+Festive+Casual+Office,https://www.flipkart.com/search?q=Minimal+Amethyst+Kurti+Festive+Casual+Office,https://meesho.com/search?q=kurti+amethyst
DRS0027,Handcrafted Emerald Maxi Dress,Maxi Dress,Emerald,Green,Deep|Fair,Apple|Hourglass|Inverted Triangle|Pear,Party,Fusion,Net,Floral,Flowy,Summer|Festive,Women,Fab India,₹3000-₹8000,3000,8000,6679,7587,12.0,4.0,627,Hand wash cold,deep|maxi dress|green|fair|fusion|emerald|floral|net|summer festive|party,"A fusion maxi dress in emerald with floral design. Crafted in Net (Hand wash cold). Perfect for Party. Best suited for Deep, Fair skin tones and Apple, Hourglass, Inverted Triangle, Pear body types. By Fab India.",https://picsum.photos/seed/maxi-dress-emerald-26/600/800,https://www.myntra.com/maxi-dress-emerald?rawQuery=Handcrafted+Emerald+Maxi+Dress+Party,https://www.flipkart.com/search?q=Handcrafted+Emerald+Maxi+Dress+Party,https://meesho.com/search?q=maxi-dress+emerald
DRS0028,Regal Tangerine Lehenga,Lehenga,Tangerine,Orange,Deep|Dusky|Fair|Wheatish,Apple|Inverted Triangle|Pear,Festive|Party|Wedding,Indo-Western,Georgette,Embroidered,Flared,All Season,Women,Libas,₹3000-₹8000,3000,8000,7827,8313,5.8,4.7,744,Hand wash cold,festive|wedding|deep|orange|fair|indo-western|dusky|tangerine|lehenga|all season|wheatish|georgette|embroidered|party,"A indo-western lehenga in tangerine with embroidered design. Crafted in Georgette (Hand wash cold). Perfect for Festive, Party, Wedding. Best suited for Deep, Dusky, Fair, Wheatish skin tones and Apple, Inverted Triangle, Pear body types. By Libas.",https://picsum.photos/seed/lehenga-tangerine-27/600/800,https://www.myntra.com/lehenga-tangerine?rawQuery=Regal+Tangerine+Lehenga+Party+Festive+Wedding,https://www.flipkart.com/search?q=Regal+Tangerine+Lehenga+Party+Festive+Wedding,https://meesho.com/search?q=lehenga+tangerine
DRS0029,Statement Coral Maxi Dress,Maxi Dress,Coral,Red,Deep|Dusky|Fair|Wheatish,Apple|Inverted Triangle|Pear|Rectangle,Festive,Western,Cotton,Floral,Flowy,Summer|Monsoon,Women,Vero Moda,₹3000-₹8000,3000,8000,5278,6106,13.6,3.8,446,Machine wash cold,cotton|festive|deep|maxi dress|fair|floral|dusky|wheatish|summer monsoon|coral|red|western,"A western maxi dress in coral with floral design. Crafted in Cotton (Machine wash cold). Perfect for Festive. Best suited for Deep, Dusky, Fair, Wheatish skin tones and Apple, Inverted Triangle, Pear, Rectangle body types. By Vero Moda.",https://picsum.photos/seed/maxi-dress-coral-28/600/800,https://www.myntra.com/maxi-dress-coral?rawQuery=Statement+Coral+Maxi+Dress+Festive,https://www.flipkart.com/search?q=Statement+Coral+Maxi+Dress+Festive,https://meesho.com/search?q=maxi-dress+coral
DRS0030,Minimal Smoky Black Gown,Gown,Smoky Black,Black,Deep|Dusky|Fair,Apple|Inverted Triangle,Party|Wedding,Indo-Western,Net,Embroidered,Fitted,Summer|Festive,Unisex,Indya,₹3000-₹8000,3000,8000,3053,3895,21.6,4.4,180,Hand wash cold,wedding|deep|smoky black|party|fair|indo-western|gown|dusky|net|summer festive|embroidered|black,"A indo-western gown in smoky black with embroidered design. Crafted in Net (Hand wash cold). Perfect for Party, Wedding. Best suited for Deep, Dusky, Fair skin tones and Apple, Inverted Triangle body types. By Indya.",https://picsum.photos/seed/gown-smoky-black-29/600/800,https://www.myntra.com/gown-smoky-black?rawQuery=Minimal+Smoky+Black+Gown+Party+Wedding,https://www.flipkart.com/search?q=Minimal+Smoky+Black+Gown+Party+Wedding,https://meesho.com/search?q=gown+smoky-black
DRS0031,Embroidered Blush Pink Salwar Suit,Salwar Suit,Blush Pink,Pink,Deep|Dusky|Fair|Wheatish,Inverted Triangle|Rectangle,Casual|Office|Wedding,Fusion,Silk,Embroidered,Regular,Winter|Festive,Women,Lakshita,₹1000-₹3000,1000,3000,2554,3913,34.7,4.3,1442,Dry clean only,wedding|deep|pink|blush pink|winter festive|fair|fusion|silk|dusky|office|wheatish|embroidered|casual|salwar suit,"A fusion salwar suit in blush pink with embroidered design. Crafted in Silk (Dry clean only). Perfect for Casual, Office, Wedding. Best suited for Deep, Dusky, Fair, Wheatish skin tones and Inverted Triangle, Rectangle body types. By Lakshita.",https://picsum.photos/seed/salwar-suit-blush-pink-30/600/800,https://www.myntra.com/salwar-suit-blush-pink?rawQuery=Embroidered+Blush+Pink+Salwar+Suit+Wedding+Casual+Office,https://www.flipkart.com/search?q=Embroidered+Blush+Pink+Salwar+Suit+Wedding+Casual+Office,https://meesho.com/search?q=salwar-suit+blush-pink
